Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
1,Drones got Stuck,272.00,48,19
2,Out of Time,1248.00,300,16
3,Drones got Stuck,1028.00,235,30
4,Drones got Stuck,616.00,128,25
5,No Failure,775.00,188,2
6,Out of Time,1260.00,300,17
7,Drones got Stuck,520.00,95,52
8,Out of Time,1264.00,300,24
9,Drones got Stuck,976.00,231,13
10,Out of Time,1208.00,300,4
11,Out of Time,1232.00,300,11
12,Drones got Stuck,668.00,149,19
13,No Failure,399.00,97,0
14,Budget runs out,1280.00,271,65
15,Drones got Stuck,436.00,97,19
16,No Failure,639.00,158,0
17,Drones got Stuck,216.00,42,11
18,No Failure,247.00,60,0
19,No Failure,503.00,125,0
20,Drones got Stuck,1108.00,244,63
21,Out of Time,1208.00,300,4
22,Drones got Stuck,892.00,137,156
23,Drones got Stuck,932.00,220,13
24,Out of Time,1240.00,300,12
25,Drones got Stuck,944.00,222,22
26,Drones got Stuck,336.00,66,17
27,No Failure,319.00,78,0
28,Drones got Stuck,680.00,158,12
29,Drones got Stuck,276.00,54,14
30,Out of Time,1268.00,300,31
31,Drones got Stuck,656.00,153,11
32,No Failure,975.00,239,4
33,No Failure,443.00,108,0
34,Drones got Stuck,548.00,126,10
35,No Failure,527.00,126,0
36,Drones got Stuck,948.00,221,27
37,No Failure,1247.00,290,21
38,No Failure,459.00,112,0
39,No Failure,455.00,111,0
40,Drones got Stuck,984.00,224,22
41,Drones got Stuck,344.00,71,24
42,Out of Time,1228.00,300,9
43,Drones got Stuck,340.00,58,47
44,No Failure,331.00,81,0
45,No Failure,363.00,89,0
46,No Failure,375.00,92,0
47,No Failure,739.00,183,0
48,No Failure,415.00,102,0
49,No Failure,535.00,132,0
50,Out of Time,1224.00,300,8
51,Drones got Stuck,1052.00,245,20
52,No Failure,1003.00,247,2
53,No Failure,636.00,148,12
54,No Failure,419.00,97,3
55,Out of Time,1268.00,300,19
56,No Failure,735.00,181,0
57,Drones got Stuck,884.00,208,14
58,Out of Time,1240.00,300,11
59,Out of Time,1252.00,300,16
60,No Failure,327.00,78,0
61,Drones got Stuck,700.00,148,33
62,No Failure,707.00,175,0
63,Drones got Stuck,1108.00,259,18
64,No Failure,1195.00,287,13
65,Drones got Stuck,324.00,65,15
66,No Failure,1039.00,258,2
67,Drones got Stuck,200.00,39,10
68,No Failure,375.00,91,0
69,Out of Time,1208.00,300,4
70,Drones got Stuck,896.00,211,13
71,No Failure,0.00,0,0
72,No Failure,671.00,164,0
73,Drones got Stuck,224.00,45,14
74,No Failure,703.00,173,0
75,Out of Time,1212.00,300,6
76,Drones got Stuck,1204.00,287,15
77,Drones got Stuck,1044.00,245,16
78,No Failure,631.00,155,0
79,Drones got Stuck,280.00,57,12
80,No Failure,459.00,112,0
81,No Failure,11.00,1,0
82,No Failure,579.00,134,9
83,Drones got Stuck,252.00,52,10
84,Drones got Stuck,492.00,95,34
85,Drones got Stuck,560.00,127,12
86,Out of Time,1260.00,300,18
87,No Failure,623.00,152,0
88,Drones got Stuck,1044.00,238,23
89,Drones got Stuck,800.00,183,32
90,No Failure,328.00,80,2
91,Out of Time,1280.00,300,22
92,Out of Time,1248.00,300,14
93,No Failure,607.00,148,0
94,Drones got Stuck,960.00,219,27
95,Out of Time,1208.00,300,4
96,No Failure,403.00,99,0
97,No Failure,819.00,201,2
98,No Failure,599.00,136,13
99,Out of Time,1232.00,300,16
100,No Failure,231.00,55,0
101,Budget runs out,1280.00,294,28
102,No Failure,1123.00,277,4
103,No Failure,811.00,200,2
104,No Failure,807.00,198,2
105,Out of Time,1228.00,300,9
106,Drones got Stuck,796.00,177,22
107,Drones got Stuck,788.00,177,21
108,Out of Time,1244.00,300,13
109,No Failure,983.00,240,2
110,Out of Time,1208.00,300,4
111,Drones got Stuck,604.00,123,47
112,Drones got Stuck,200.00,31,18
113,No Failure,443.00,107,0
114,Out of Time,1228.00,300,9
115,No Failure,239.00,57,0
116,Budget runs out,1280.00,293,29
117,Drones got Stuck,484.00,84,36
118,Out of Time,1244.00,300,13
119,No Failure,263.00,63,0
120,No Failure,411.00,100,0
121,No Failure,715.00,178,0
122,Out of Time,1232.00,300,11
123,Drones got Stuck,280.00,51,18
124,Budget runs out,1280.00,265,56
125,No Failure,1155.00,282,4
126,Budget runs out,1280.00,293,29
127,No Failure,1115.00,252,22
128,No Failure,875.00,215,2
129,Drones got Stuck,1208.00,288,15
130,No Failure,255.00,62,0
131,Drones got Stuck,272.00,57,19
132,Drones got Stuck,1112.00,236,53
133,Drones got Stuck,532.00,104,28
134,No Failure,387.00,94,0
135,Out of Time,1208.00,300,4
136,Out of Time,1208.00,300,4
137,Out of Time,1208.00,300,4
138,Out of Time,1208.00,300,4
139,Drones got Stuck,340.00,63,37
140,No Failure,387.00,95,0
141,Budget runs out,1280.00,288,34
142,Drones got Stuck,992.00,206,42
143,No Failure,343.00,84,0
144,No Failure,743.00,184,0
145,Drones got Stuck,1084.00,250,22
146,No Failure,727.00,179,2
147,Out of Time,1256.00,300,22
148,Drones got Stuck,1084.00,258,14
149,No Failure,791.00,194,2
150,Drones got Stuck,580.00,129,22
151,No Failure,727.00,180,0
152,Drones got Stuck,836.00,197,12
153,Out of Time,1208.00,300,4
154,Out of Time,1208.00,300,4
155,Drones got Stuck,392.00,76,21
156,No Failure,359.00,87,0
157,Out of Time,1240.00,300,15
158,Budget runs out,1280.00,294,28
