Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
1,No Failure,1091.00,270,0
2,No Failure,399.00,97,0
3,No Failure,1179.00,293,0
4,Out of Time,4482.00,1000,480
5,No Failure,759.00,188,0
6,No Failure,811.00,201,0
7,No Failure,711.00,175,0
8,No Failure,1179.00,293,0
9,No Failure,369.00,88,2
10,No Failure,2915.00,678,194
11,Out of Time,4574.00,1000,569
12,No Failure,667.00,164,0
13,No Failure,295.00,71,0
14,No Failure,4033.00,896,440
15,Out of Time,4448.00,1000,445
16,Out of Time,4386.00,1000,381
17,Out of Time,4462.00,1000,458
18,Out of Time,4536.00,1000,534
19,No Failure,845.00,208,2
20,Out of Time,4502.00,1000,498
21,No Failure,2609.00,614,147
22,No Failure,1223.00,302,0
23,Drones got Stuck,4338.00,951,529
24,No Failure,215.00,51,0
25,No Failure,1451.00,360,0
26,No Failure,247.00,59,0
27,Out of Time,4564.00,1000,562
28,No Failure,455.00,111,0
29,No Failure,3493.00,789,331
30,No Failure,2399.00,573,101
31,No Failure,131.00,31,0
32,Out of Time,4564.00,1000,563
33,No Failure,267.00,64,0
34,No Failure,207.00,50,0
35,No Failure,2005.00,486,55
36,No Failure,3221.00,727,301
37,No Failure,4077.00,935,327
38,No Failure,51.00,11,0
39,No Failure,1219.00,302,0
40,No Failure,2809.00,664,143
41,No Failure,43.00,8,0
42,No Failure,63.00,14,0
43,No Failure,607.00,150,0
44,No Failure,835.00,206,0
45,No Failure,75.00,17,0
46,No Failure,227.00,54,0
47,No Failure,179.00,42,0
48,No Failure,247.00,59,0
49,No Failure,1311.00,325,0
50,No Failure,979.00,243,0
51,No Failure,1011.00,251,0
52,No Failure,1451.00,360,0
53,Out of Time,4324.00,1000,324
54,No Failure,219.00,53,0
55,No Failure,431.00,106,0
56,No Failure,687.00,169,0
57,No Failure,4009.00,881,475
58,No Failure,3153.00,730,222
59,No Failure,903.00,224,0
60,No Failure,991.00,245,0
61,No Failure,207.00,50,0
62,No Failure,243.00,58,0
63,No Failure,319.00,78,0
64,No Failure,2417.00,573,115
65,No Failure,299.00,73,0
66,No Failure,1957.00,478,34
67,Out of Time,4350.00,1000,350
68,No Failure,531.00,131,0
69,No Failure,131.00,30,0
70,No Failure,2583.00,621,89
71,No Failure,1779.00,432,40
72,No Failure,3929.00,901,317
73,Out of Time,4412.00,1000,411
74,Out of Time,4478.00,1000,475
75,No Failure,3313.00,767,230
76,No Failure,79.00,17,0
77,No Failure,1303.00,324,0
78,No Failure,111.00,26,0
79,No Failure,23.00,3,0
80,No Failure,2159.00,522,57
81,No Failure,215.00,51,0
82,No Failure,775.00,191,0
83,No Failure,851.00,210,0
84,No Failure,87.00,20,0
85,No Failure,2237.00,539,75
86,No Failure,703.00,174,0
87,No Failure,39.00,7,0
88,No Failure,2421.00,574,114
89,No Failure,115.00,26,0
90,Out of Time,4562.00,1000,562
91,No Failure,615.00,151,0
92,Out of Time,4486.00,1000,481
93,No Failure,75.00,17,0
94,No Failure,111.00,25,0
95,No Failure,159.00,37,0
96,No Failure,207.00,50,0
97,Out of Time,4542.00,1000,540
98,No Failure,295.00,71,0
99,No Failure,1299.00,323,0
100,No Failure,0.00,0,0
101,No Failure,75.00,16,0
102,Out of Time,4452.00,1000,450
103,No Failure,2493.00,592,115
104,Out of Time,4494.00,1000,491
105,No Failure,259.00,63,0
106,No Failure,2127.00,515,55
107,No Failure,231.00,56,0
108,No Failure,255.00,61,0
109,No Failure,2101.00,509,55
110,No Failure,939.00,231,0
111,No Failure,843.00,208,0
112,No Failure,2355.00,560,100
113,No Failure,27.00,5,0
114,No Failure,543.00,133,0
115,No Failure,211.00,51,0
116,No Failure,3821.00,877,301
117,No Failure,2203.00,535,54
118,No Failure,1047.00,259,0
119,No Failure,787.00,194,0
120,No Failure,567.00,140,0
121,No Failure,35.00,6,0
122,No Failure,919.00,228,0
123,No Failure,2913.00,680,187
124,Out of Time,4420.00,1000,417
125,No Failure,483.00,118,0
126,No Failure,3033.00,696,243
127,No Failure,1047.00,259,0
128,No Failure,1495.00,371,0
129,No Failure,1999.00,485,49
130,No Failure,147.00,34,0
131,No Failure,647.00,160,0
132,No Failure,1187.00,294,0
133,No Failure,951.00,235,0
134,Out of Time,4536.00,1000,533
135,No Failure,635.00,157,0
136,No Failure,899.00,223,0
137,No Failure,571.00,140,0
138,Out of Time,4408.00,1000,408
139,No Failure,619.00,152,0
140,No Failure,1955.00,474,48
141,No Failure,1251.00,311,0
142,No Failure,3667.00,824,364
143,No Failure,1563.00,389,0
144,No Failure,3477.00,787,323
145,No Failure,439.00,108,0
146,No Failure,179.00,42,0
147,No Failure,171.00,40,0
148,No Failure,1031.00,255,0
149,Out of Time,4534.00,1000,532
150,No Failure,2119.00,508,76
151,Out of Time,4454.00,1000,451
152,No Failure,519.00,128,0
153,No Failure,2791.00,675,80
